SCHOOL_ENROLLMENT_ID,CENSUS_YEAR,CENSUS_SUBDIVISION_ID,SCHOOL_NAME,SCHOOL_DISTRICT,ELEMENTARY_SCHOOL_ENROLLMENT,SECONDARY_SCHOOL_ENROLLMENT,SCHOOL_YEAR_PERIOD,DATA_PUBLICATION_YEAR,LATITUDE,LONGITUDE
277,2016,5937010,Lavington Elementary,Vernon,136,0,2016/2017,2017,50.231484,-119.107276
278,2016,5937014,Mission Hill Elementary,Vernon,308,0,2016/2017,2017,50.25408,-119.281764
279,2016,5937014,Okanagan Landing Elementary,Vernon,342,0,2016/2017,2017,50.237487,-119.344062
280,2016,5937014,Open Door Alternate School,Vernon,0,39,2016/2017,2017,50.26297,-119.269034
281,2016,5937014,Pleasant Valley Christian Academy,Vernon,13,0,2016/2017,2017,50.277564,-119.254485
282,2016,5937014,Silver Star Elementary,Vernon,471,0,2016/2017,2017,50.267462,-119.250504
283,2016,5937014,St James,Vernon,147,0,2016/2017,2017,50.262184,-119.266548
284,2016,5937017,Vernon Christian School,Vernon,200,142,2016/2017,2017,50.30928,-119.245517
285,2016,5937014,Vernon Secondary,Vernon,0,1016,2016/2017,2017,50.256934,-119.251107
286,2016,5937014,vLearn.ca,Vernon,80,404,2016/2017,2017,50.261688,-119.285737
287,2016,5937014,W L Seaton Secondary,Vernon,0,856,2016/2017,2017,50.272477,-119.267458
288,2016,5935010,A S Matheson Elementary,Central Okanagan,232,0,2016/2017,2017,49.876061,-119.478626
289,2016,5935010,Aberdeen Hall Preparatory School,Central Okanagan,292,0,2016/2017,2017,49.935009,-119.40238
290,2016,5935010,Aberdeen Hall Senior,Central Okanagan,36,228,2016/2017,2017,49.935009,-119.40238
291,2016,5935010,Adult Education SD#23,Central Okanagan,0,18,2016/2017,2017,49.881247,-119.487438
292,2016,5935010,Anne McClymont Elementary,Central Okanagan,542,0,2016/2017,2017,49.820232,-119.49005
293,2016,5935010,Bankhead Elementary,Central Okanagan,276,0,2016/2017,2017,49.891889,-119.472111
294,2016,5935010,Belgo Elementary School,Central Okanagan,326,0,2016/2017,2017,49.882257,-119.389856
295,2016,5935010,Black Mountain Elementary,Central Okanagan,408,0,2016/2017,2017,49.867177,-119.349252
296,2016,5935010,Casorso Elementary,Central Okanagan,532,0,2016/2017,2017,49.852912,-119.480572
297,2016,5935010,Central School Programs,Central Okanagan,1,260,2016/2017,2017,49.881247,-119.487438
298,2016,5935029,Chief Tomat Elementary,Central Okanagan,270,0,2016/2017,2017,49.841811,-119.58868
299,2016,5935010,Chute Lake Elementary,Central Okanagan,492,0,2016/2017,2017,49.795854,-119.5096
300,2016,5935029,Constable Neil Bruce Middle School,Central Okanagan,226,517,2016/2017,2017,49.857264,-119.597148
301,2016,5935016,Davidson Road Elementary,Central Okanagan,482,0,2016/2017,2017,50.051513,-119.430859
302,2016,5935010,Dorothea Walker Elementary,Central Okanagan,470,0,2016/2017,2017,49.826619,-119.484366
303,2016,5935010,Dr Knox Middle School,Central Okanagan,244,490,2016/2017,2017,49.922081,-119.435019
304,2016,5935012,Ellison Elementary,Central Okanagan,183,0,2016/2017,2017,49.938551,-119.355579
305,2016,5935016,George Elliot Secondary,Central Okanagan,125,735,2016/2017,2017,50.031271,-119.402078
306,2016,5935029,George Pringle Elementary,Central Okanagan,495,0,2016/2017,2017,49.82707,-119.632286
307,2016,5935010,Glenmore Elementary,Central Okanagan,649,0,2016/2017,2017,49.897629,-119.455964
308,2016,5935029,Glenrosa Elementary,Central Okanagan,239,0,2016/2017,2017,49.839868,-119.654049
309,2016,5935029,Glenrosa Middle School,Central Okanagan,173,314,2016/2017,2017,49.833092,-119.658564
310,2016,5935029,Helen Gorman Elementary,Central Okanagan,237,0,2016/2017,2017,49.845874,-119.672146
